file,gender
Y:/VIDEOS/1003_1004/Video/2021-11-08/T070637000000.asf, male
Y:/VIDEOS/1003_1004/Video/2021-11-08/T071643000000.asf, male
Y:/VIDEOS/1003_1004/Video/2021-11-08/T220029000000.asf, male
Y:/VIDEOS/1003_1004/Video/2021-11-08/T225853000000.asf, male
Y:/VIDEOS/1003_1004/Video/2021-11-08/T234029000000.asf, male
Y:/VIDEOS/1003_1004/Video/2021-11-08/T234606000000.asf, male
Y:/VIDEOS/1003_1004/Video/2021-11-09/T000301000000.asf, male
Y:/VIDEOS/1003_1004/Video/2021-11-09/T001917000000.asf, male
Y:/VIDEOS/1003_1004/Video/2021-11-09/T002115000000.asf, male
Y:/VIDEOS/1003_1004/Video/2021-11-09/T004756000000.asf, male
Y:/VIDEOS/1003_1004/Video/2021-11-09/T004849000000.asf, male
Y:/VIDEOS/1003_1004/Video/2021-11-09/T010042000000.asf, male
Y:/VIDEOS/1003_1004/Video/2021-11-09/T055021000000.asf, male
Y:/VIDEOS/1003_1004/Video/2021-11-09/T055147000000.asf, male
Y:/VIDEOS/1003_1004/Video/2021-11-09/T060156000000.asf, male
Y:/VIDEOS/1003_1004/Video/2021-11-09/T061207000000.asf, male
Y:/VIDEOS/1003_1004/Video/2021-11-09/T071704000000.asf, male
Y:/VIDEOS/1003_1004/Video/2021-11-09/T072057000000.asf, male
Y:/VIDEOS/1003_1004/Video/2021-11-09/T073111000000.asf, male
Y:/VIDEOS/1003_1004/Video/2021-11-09/T074435000000.asf, male
Y:/VIDEOS/1003_1004/Video/2021-11-09/T074743000000.asf, male
Y:/VIDEOS/1003_1004/Video/2021-11-09/T185825000000.asf, male
Y:/VIDEOS/1003_1004/Video/2021-11-09/T190543000000.asf, male
Y:/VIDEOS/1003_1004/Video/2021-11-09/T191550000000.asf, male
Y:/VIDEOS/1003_1004/Video/2021-11-09/T192558000000.asf, male
Y:/VIDEOS/1003_1004/Video/2021-11-09/T193604000000.asf, male
Y:/VIDEOS/1003_1004/Video/2021-11-09/T194610000000.asf, male
Y:/VIDEOS/1003_1004/Video/2021-11-09/T195616000000.asf, male
